street1,street2,city,date,desc,bus_year,bus_manufacturer,lat,long,formatted_address
E 27 Ave,Oak St,Vancouver,2020-01-20 00:00:00,Collisions With Objects,2006,Wf,49.2283846,-123.1282674,"Oak St, British Columbia, Canada"
Burrard St,W Georgia St,Vancouver,2020-01-18 00:00:00,Collisions With Other Vehicles,2008,Nov,49.2857341,-123.1231553,"W Georgia St, Vancouver, BC, Canada"
103 Ave,128 St,Surrey,2020-01-18 00:00:00,Collisions With Other Vehicles,2018,Wf,49.1574493,-122.8680047,"128 St, Surrey, BC, Canada"
No. 5 Rd,Steveston Hwy,Richmond,2020-01-17 00:00:00,Collisions With Other Vehicles,2016,Wf,49.1335088,-123.1283896,"Steveston Hwy, Richmond, BC, Canada"
E 43 Ave,Victoria Dr,Vancouver,2020-01-17 00:00:00,Collisions With Other Vehicles,2006,Wf,49.24580839999999,-123.0651929,"Victoria Dr, Vancouver, BC, Canada"
Nan,Como Lake,Coquitlam,2020-01-17 00:00:00,Collisions With Objects,2006,Wf,49.25993159999999,-122.858226,"Como Lake, Coquitlam, BC V3J, Canada"
Seymour St,W Pender St,Vancouver,2020-01-16 00:00:00,Collisions With Other Vehicles,2006,Wf,49.28590639999999,-123.1167774,"W Pender St, Vancouver, BC, Canada"
Kincaid St,Boundary Rd,Burnaby,2020-01-16 00:00:00,Collisions With Other Vehicles,2009,Nov,49.2431178,-123.0235706,"Boundary Rd, British Columbia, Canada"
Burrard St,W Georgia St,Vancouver,2020-01-16 00:00:00,Collisions With Other Vehicles,2007,Nov,49.2857341,-123.1231553,"W Georgia St, Vancouver, BC, Canada"
Nan,22Nd Street Stn,New Westminster,2020-01-15 00:00:00,Collisions With Other Vehicles,2016,Wf,49.1999652,-122.949048,"22nd Street, 649 22nd St, New Westminster, BC V3M, Canada"
W Hastings St,Granville St,Vancouver,2020-01-14 00:00:00,Collisions With Other Vehicles,2006,Wf,49.2454569,-123.1392135,"Granville St, Vancouver, BC, Canada"
Brunette Ave,Braid St,New Westminster,2020-01-14 00:00:00,Collisions With Other Vehicles,2016,Gm,49.23156609999999,-122.886261,"Braid St, New Westminster, BC, Canada"
Boundary Rd,Hastings St,Burnaby,2020-01-14 00:00:00,Collisions With Other Vehicles,2007,Nov,49.281047,-123.008645,"Hastings St, Burnaby, BC, Canada"
Nan,Carvolth Exchange,Langley,2020-01-14 00:00:00,Collisions With Objects (At G/C),2019,Adl,49.16038289999999,-122.6603426,"Carvolth Exchange, Langley Twp, BC V2Y 2C2, Canada"
Marine Dr,Cambie St,Vancouver,2020-01-14 00:00:00,Collisions With Objects,2006,Wf,49.24022230000001,-123.1178489,"Cambie St, Vancouver, BC, Canada"
